#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
165.0,1915,531.61067
215.0,1895,533.20167
215.0,2635,535.426723
135.0,1497,536.678654
230.0,2265,538.577488
145.0,1931,540.21507
180.0,2399,542.239033
315.0,3001,544.81349
280.0,2645,547.059999
220.0,1835,548.631211
160.0,2159,550.456575
435.0,3619,553.53201
110.0,1397,554.716092
395.0,3613,557.78927
110.0,1669,559.206328
310.0,2883,561.639221
170.0,1849,563.202182
210.0,1885,564.808744
150.0,1519,566.096244
200.0,2029,567.802062
120.0,1733,569.25244
225.0,2295,571.203471
230.0,1883,572.796353
195.0,1875,574.388443
120.0,1607,575.752933
200.0,2381,577.759767
200.0,2483,579.861339
385.0,2708,582.141188
210.0,2139,583.958511
175.0,1807,585.480269
275.0,2967,588.006386
75.0,1133,588.936621
160.0,1979,590.628439
215.0,1961,592.286196
195.0,1689,593.745456
205.0,2089,595.513128
230.0,2977,598.054343
335.0,2719,600.343954
375.0,3289,603.104561
260.0,2887,605.556465
455.0,2429,607.631338
595.0,3575,618.21704
250.0,2537,620.354437
190.0,2085,622.133976
105.0,1541,623.446407
140.0,1601,624.794526
110.0,1401,625.984333
110.0,1437,627.194431
195.0,2493,629.25287
110.0,1687,630.600325
170.0,1869,632.078025
165.0,1897,633.592017
125.0,1917,635.12995
175.0,1825,636.574376
110.0,1791,637.989805
140.0,1889,639.491434
245.0,2627,641.583886
165.0,1919,643.116836
620.0,4623,646.745965
115.0,1143,647.649834
300.0,2827,649.874062
105.0,1449,651.006137
210.0,2059,652.631889
345.0,4227,655.974407
210.0,2531,657.97565
145.0,1937,659.497481
270.0,2953,661.850063
110.0,1725,663.18664
155.0,2395,665.08203
460.0,2919,667.403662
200.0,1861,668.882001
420.0,3155,671.368414
140.0,1827,672.828288
145.0,1943,674.373241
185.0,1935,675.909753
105.0,1767,677.31565
165.0,2017,678.945944
265.0,2549,680.978476
205.0,2349,682.82421
215.0,2443,684.775019
195.0,1849,686.224178
290.0,2805,688.449045
90.0,1355,689.519856
545.0,4075,692.75681
75.0,1061,693.577539
55.0,1029,694.393582
225.0,2483,696.3617
770.0,4761,707.382964
130.0,1595,708.670564
290.0,2601,710.730432
255.0,2611,712.815048
240.0,2445,714.755658
210.0,1957,716.310141
280.0,2415,718.242741
